repName	primary_disease	xenaSuffix
ALL-US	Blood Cancer	Blood Cancer - Acute lymphoblastic leukemia - TARGET, United States
AML-US	Blood Cancer	Blood Cancer - Acute Myeloid Leukemia - TARGET, United States
BLCA-CN	Bladder Cancer	Bladder Cancer - Urothelial carcinoma - China
BOCA-FR	Bone Cancer	Bone Cancer - Ewing sarcoma - France
BOCA-UK	Bone Cancer	Bone Cancer - United Kingdom
BRCA-EU	Breast Cancer	Breast Cancer - Breast ER+ and HER2- Cancer - European Union/United Kingdom
BRCA-UK	Breast Cancer	Breast Cancer - Triple Negative/Lobular Cancer - United Kingdom
BTCA-SG	Breast Cancer	Biliary Tract Cancer - Singapore
CCSK-US	Kidney Cancer	Renal Cancer - Clear Cell Sarcomas of the Kidney - TARGET, United States
CLLE-ES	Chronic Lymphocytic Leukemia	Chronic Lymphocytic Leukemia - Spain
CMDI-UK	Chronic Myeloid Disorders	Chronic Myeloid Disorders - United Kingdom
COCA-CN	Colorectal Cancer	Colorectal Cancer - China
EOPC-DE	Prostate Cancer	Prostate Cancer - Early Onset - Germany
ESAD-UK	Esophageal Cancer	Esophageal Cancer - Esophageal adenocarcinoma - United Kingdom
ESCA-CN	Esophageal Cancer	Esophageal Cancer - China
GACA-CN	Gastric Cancer	Gastric Cancer - China
LAML-KR	Blood Cancer	Blood Cancer - Acute myeloid leukaemia and Chronic myelogenous leukaemia - South Korea
LIAD-FR	Liver Cancer	Liver Cancer - Benign Liver Tumour - France
LICA-FR	Liver Cancer	Liver Cancer - France
LIHM-FR	Liver Cancer	Liver Cancer - Hepatocellular macronodules - France
LINC-JP	Liver Cancer	Liver Cancer - NCC, Japan
LIRI-JP	Liver Cancer	Liver Cancer - Riken, Japan
LUSC-CN	Lung Cancer	Lung Cancer - China
LUSC-KR	Lung Cancer	Lung Cancer - South Korea
MALY-DE	Lymphoma	Lymphoma - Malignant lymphomas - Germany
MELA-AU	Skin Cancer	Skin Cancer - Australia
NBL-US	Neuroblastoma	Neuroblastoma - TARGET, United States
ORCA-IN	Oral Cancer	Oral Cancer - India
OV-AU	Ovarian Cancer	Ovarian Cancer - Australia
PACA-AU	Pancreatic Cancer	Pancreatic Cancer - Australia
PACA-CA	Pancreatic Cancer	Pancreatic Cancer - Canada
PACA-IT	Pancreatic Cancer	Pancreatic Cancer - Italy
PAEN-AU	Pancreatic Cancer	Pancreatic Cancer - Endocrine neoplasms - Australia
PBCA-DE	Pediatric Brian Tumors	Pediatric Brain Tumors - Medulloblastoma and Pediatric Pilocytic Astrocytoma - Germany
PRAD-CA	Prostate Cancer	Prostate Cancer - Canada
PRAD-UK	Prostate Cancer	Prostate Cancer - United Kingdom
RECA-CN	Kidney Cancer	Renal Cancer - China
RECA-EU	Kidney Cancer	Renal Cell Cancer - European Union/France
SKCA-BR	Skin Cancer	Skin Adenocarcinoma - Brazil
THCA-SA	Thyriod Cancer	Thyroid Cancer - Saudi Arabia
WT-US	Wilms Tumor	Wilms Tumor - TARGET, United States
